#m,n,s_x,s_y,s_z,freq
16,8,0.0,-4.0,0.0,641604398.0242158
16,9,4.0,0.0,0.0,3572640259.035622
16,15,-4.0,0.0,0.0,2072331570.1972046
16,24,0.0,4.0,0.0,472902562.5489593
17,9,0.0,-4.0,0.0,10335070011.899876
17,18,4.0,0.0,0.0,156285836951.38336
17,24,-4.0,0.0,0.0,1368030570.7772682
17,25,0.0,4.0,0.0,9857602535.427795
18,10,0.0,-4.0,0.0,38569224.594376735
18,17,-4.0,0.0,0.0,122006054.84918004
18,19,4.0,0.0,0.0,1428589980.3747106
18,26,0.0,4.0,0.0,23798258682.198536
19,11,0.0,-4.0,0.0,7125282665.589542
19,18,-4.0,0.0,0.0,13347299545.135498
19,20,4.0,0.0,0.0,1141030497.0491867
19,27,0.0,4.0,0.0,36645916.09625692
20,12,0.0,-4.0,0.0,222475730268.15082
20,19,-4.0,0.0,0.0,16711050620.076921
20,21,4.0,0.0,0.0,3639115244.8812394
20,28,0.0,4.0,0.0,1254281253.3006876
21,13,0.0,-4.0,0.0,39273457038.323204
21,20,-4.0,0.0,0.0,5239685229.002068
21,22,4.0,0.0,0.0,15431831195.419147
21,29,0.0,4.0,0.0,2716587743.1308684
22,14,0.0,-4.0,0.0,229202419.41752368
22,21,-4.0,0.0,0.0,1235616055.786087
22,23,4.0,0.0,0.0,148773152.3554851
22,30,0.0,4.0,0.0,2566505991.650748
23,15,0.0,-4.0,0.0,19526485610.38382
23,22,-4.0,0.0,0.0,128167065719.48549
23,24,4.0,0.0,0.0,4455911020.960404
23,31,0.0,4.0,0.0,10343308721.667452
24,16,0.0,-4.0,0.0,40320818505.32668
24,17,4.0,0.0,0.0,13938152262.494255
24,23,-4.0,0.0,0.0,4279218841.118306
24,32,0.0,4.0,0.0,226961255214.89825
25,17,0.0,-4.0,0.0,1934326153.515683
25,26,4.0,0.0,0.0,377305816781.0892
25,32,-4.0,0.0,0.0,31497510109.590546
25,33,0.0,4.0,0.0,343753366766.58514
26,18,0.0,-4.0,0.0,801227461.6337172
26,25,-4.0,0.0,0.0,50536772.94962969
26,27,4.0,0.0,0.0,2199824.3340352043
26,34,0.0,4.0,0.0,231594612.13675097
27,19,0.0,-4.0,0.0,520325876017.277
27,26,-4.0,0.0,0.0,8667882294157.47
27,28,4.0,0.0,0.0,39054097000.43882
27,35,0.0,4.0,0.0,813593608168.1029
28,20,0.0,-4.0,0.0,15202187184.941843
28,27,-4.0,0.0,0.0,488241179.7928969
28,29,4.0,0.0,0.0,7881785559.713805
28,36,0.0,4.0,0.0,1806503111.1160724
29,21,0.0,-4.0,0.0,7019032771.33424
29,28,-4.0,0.0,0.0,2419225726.300132
29,30,4.0,0.0,0.0,14579277744.785965
29,37,0.0,4.0,0.0,284438097519.61725
30,22,0.0,-4.0,0.0,7429485244.636535
30,29,-4.0,0.0,0.0,1307871262.8312314
30,31,4.0,0.0,0.0,599572589.8612477
30,38,0.0,4.0,0.0,234043999.48590353
31,23,0.0,-4.0,0.0,1843493113.1173406
31,30,-4.0,0.0,0.0,31802351738.01581
31,32,4.0,0.0,0.0,97775207688.09036
31,39,0.0,4.0,0.0,1252768413.2962358
32,24,0.0,-4.0,0.0,84013539.56729825
32,25,4.0,0.0,0.0,605375419.4822723
32,31,-4.0,0.0,0.0,195016905.0631748
32,40,0.0,4.0,0.0,2457709143.2072954
33,25,0.0,-4.0,0.0,55469473.869001836
