#m,n,s_x,s_y,s_z,freq
39,47,0.0,4.0,0.0,618930026063.9886
40,32,0.0,-4.0,0.0,136101312417.81198
40,33,4.0,0.0,0.0,571011368581.9498
40,39,-4.0,0.0,0.0,9964317141.35424
40,48,0.0,4.0,0.0,45684697111.83527
41,33,0.0,-4.0,0.0,301584342042.03723
41,42,4.0,0.0,0.0,13119290549.55255
41,48,-4.0,0.0,0.0,24128747828.7488
41,49,0.0,4.0,0.0,21071938586.87131
42,34,0.0,-4.0,0.0,402349470746.28894
42,41,-4.0,0.0,0.0,708386463687.95
42,43,4.0,0.0,0.0,195403310501.45258
42,50,0.0,4.0,0.0,80323919434.29526
43,35,0.0,-4.0,0.0,279583645947.1537
43,42,-4.0,0.0,0.0,47560749173.81289
43,44,4.0,0.0,0.0,447831360587.1004
43,51,0.0,4.0,0.0,99986971892.26273
44,36,0.0,-4.0,0.0,5731336834.639968
44,43,-4.0,0.0,0.0,20752293511.353436
44,45,4.0,0.0,0.0,52759202354.53743
44,52,0.0,4.0,0.0,144761726136.52805
45,37,0.0,-4.0,0.0,310614633198.02484
45,44,-4.0,0.0,0.0,176149892791.03442
45,46,4.0,0.0,0.0,320862800558.576
45,53,0.0,4.0,0.0,34041954640.863976
46,38,0.0,-4.0,0.0,2712251731.722827
46,45,-4.0,0.0,0.0,28964179775.01154
46,47,4.0,0.0,0.0,14475713381.786121
46,54,0.0,4.0,0.0,34085943107.188087
47,39,0.0,-4.0,0.0,15015474200.8452
47,46,-4.0,0.0,0.0,642008279204.0996
47,48,4.0,0.0,0.0,68843391988.11963
47,55,0.0,4.0,0.0,154470748198.78018
48,40,0.0,-4.0,0.0,203427590112.76535
48,41,4.0,0.0,0.0,385164116449.47675
48,47,-4.0,0.0,0.0,134995205350.95161
48,56,0.0,4.0,0.0,93452682224.1384
49,41,0.0,-4.0,0.0,441038103835.52106
49,50,4.0,0.0,0.0,50009297093.999954
49,56,-4.0,0.0,0.0,107009433138.31258
49,57,0.0,4.0,0.0,358612151254.41876
50,42,0.0,-4.0,0.0,115700626960.74423
50,49,-4.0,0.0,0.0,185836002074.24805
50,51,4.0,0.0,0.0,243237449720.63617
50,58,0.0,4.0,0.0,426136074583.42426
51,43,0.0,-4.0,0.0,92947387670.7274
51,50,-4.0,0.0,0.0,38207635580.648026
51,52,4.0,0.0,0.0,648372878483.7338
51,59,0.0,4.0,0.0,1138367046187.6416
52,44,0.0,-4.0,0.0,64198791258.729065
52,51,-4.0,0.0,0.0,14333615959.115751
52,53,4.0,0.0,0.0,12406776441.360304
52,60,0.0,4.0,0.0,18396154052.298374
53,45,0.0,-4.0,0.0,273002180295.96674
53,52,-4.0,0.0,0.0,749068695032.7051
